Meet_Year,LEAGUE_NAME,Round,Game_id,Game_Datetime,Day,HomeTeam,AwayTeam,HomeRank,AwayRank,Field_Name,Audience_Qty,Weather,Temperature,Humidity
2025,K리그1,21,123,2025-06-28 19:00:00,토,수원FC,강원,11,8,수원 종합 운동장,3401,흐림,28.7,76
2025,K리그1,21,124,2025-06-28 19:00:00,토,안양,광주,9,6,안양 종합 운동장,7253,흐림,28.4,75
2025,K리그1,21,125,2025-07-12 19:00:00,토,울산,대구,7,12,울산 문수 축구경기장,14555,맑음,27.0,10
2025,K리그1,21,126,2025-06-29 19:00:00,일,서울,포항,8,4,서울 월드컵 경기장,20036,맑음,28.2,83
2025,K리그1,22,127,2025-07-18 19:30:00,금,수원FC,광주,11,5,수원 종합 운동장,2036,흐림,27.7,73
2025,K리그1,22,128,2025-07-18 19:30:00,금,대구,김천,12,3,대구iM뱅크PARK,8562,비,27.0,84
2025,K리그1,22,129,2025-07-19 19:00:00,토,강원,대전,8,3,강릉하이원아레나,10207,맑음,31.0,60
2025,K리그1,22,130,2025-07-19 19:00:00,토,포항,전북,4,1,포항 스틸야드,13973,흐림,23.0,92
2025,K리그1,22,131,2025-07-19 19:00:00,토,제주,안양,10,9,제주 월드컵 경기장,7120,맑음,28.0,86
2025,K리그1,22,132,2025-07-20 19:00:00,일,서울,울산,7,6,서울 월드컵 경기장,24047,맑음,29.3,74
2025,K리그1,23,133,2025-07-22 19:30:00,화,포항,수원FC,5,11,포항 스틸야드,8260,맑음,35.0,46
2025,K리그1,23,134,2025-07-22 19:30:00,화,광주,김천,6,3,광주 월드컵 경기장,1710,흐림,29.0,75
2025,K리그1,23,135,2025-07-22 19:30:00,화,안양,대구,10,12,안양 종합 운동장,5368,맑음,30.7,62
2025,K리그1,23,136,2025-07-23 19:30:00,수,울산,대전,7,3,울산 문수 축구경기장,8127,맑음,30.7,64
2025,K리그1,23,137,2025-07-23 19:30:00,수,제주,서울,10,4,제주 월드컵 경기장,7084,맑음,30.0,65
2025,K리그1,23,138,2025-07-23 19:30:00,수,전북,강원,1,8,전주 월드컵 경기장,13795,맑음,33.0,63
2025,K리그1,24,139,2025-07-26 19:00:00,토,김천,제주,3,8,김천 종합 운동장,1922,맑음,33.8,54
2025,K리그1,24,140,2025-07-26 19:00:00,토,수원FC,안양,11,10,수원 종합 운동장,8027,맑음,36.0,48
2025,K리그1,24,141,2025-07-26 19:00:00,토,광주,전북,6,1,광주 월드컵 경기장,9544,맑음,31.0,60
2025,K리그1,24,142,2025-07-27 19:00:00,일,강원,울산,9,7,강릉하이원아레나,9144,맑음,37.1,42
2025,K리그1,24,143,2025-07-27 19:00:00,일,대전,서울,3,4,대전 월드컵 경기장,11029,맑음,35.4,53
2025,K리그1,24,144,2025-07-27 19:00:00,일,대구,포항,12,5,대구iM뱅크PARK,10153,맑음,35.0,47
2025,K리그1,25,145,2025-08-08 19:30:00,금,서울,대구,4,12,서울 월드컵 경기장,15778,흐림,27.6,75
2025,K리그1,25,146,2025-08-08 19:30:00,금,전북,안양,1,11,전주 월드컵 경기장,21346,흐림,28.0,63
2025,K리그1,25,147,2025-08-09 19:30:00,토,울산,제주,7,9,울산 문수 축구경기장,10510,흐리고 비,24.0,88
2025,K리그1,25,148,2025-08-09 19:30:00,토,강원,김천,8,2,강릉하이원아레나,9415,흐림,27.0,74
2025,K리그1,25,149,2025-08-10 19:00:00,일,포항,광주,5,7,포항 스틸야드,10020,맑음,27.0,73
2025,K리그1,25,150,2025-08-10 19:00:00,일,대전,수원FC,3,10,대전 월드컵 경기장,9022,맑음,31.3,51
2025,K리그1,26,151,2025-08-15 19:00:00,금,제주,강원,9,8,제주 월드컵 경기장,8093,맑음,29.0,77
2025,K리그1,26,152,2025-08-15 19:00:00,금,안양,포항,11,4,안양 종합 운동장,8122,맑음,30.2,66
2025,K리그1,26,153,2025-08-16 19:00:00,토,전북,대구,1,12,전주 월드컵 경기장,23460,맑음,33.0,53
2025,K리그1,26,154,2025-08-16 20:00:00,토,수원FC,울산,10,6,수원 종합 운동장,5702,맑음,29.7,69
2025,K리그1,26,155,2025-08-17 19:00:00,일,김천,서울,4,5,김천 종합 운동장,2667,맑음,32.3,49
2025,K리그1,26,156,2025-08-17 19:00:00,일,광주,대전,7,2,광주 월드컵 경기장,3278,맑음,29.0,70
2025,K리그1,27,157,2025-08-23 19:00:00,토,김천,수원FC,2,9,김천 종합 운동장,2303,맑음,33.0,55
2025,K리그1,27,158,2025-08-23 19:30:00,토,광주,강원,6,8,광주 월드컵 경기장,3044,맑음,29.5,70
2025,K리그1,27,159,2025-08-23 19:00:00,토,대구,제주,12,10,대구iM뱅크PARK,7586,맑음,35.0,41
2025,K리그1,27,160,2025-08-24 19:00:00,일,서울,울산,5,8,서울 월드컵 경기장,20737,맑음,30.8,67
2025,K리그1,27,161,2025-08-24 19:00:00,일,포항,전북,4,1,포항 스틸야드,11582,맑음,31.0,51
2025,K리그1,27,162,2025-08-24 19:00:00,일,안양,대전,11,3,안양 종합 운동장,6317,맑음,33.9,51
2025,K리그1,28,163,2025-08-30 19:00:00,토,울산,전북,8,1,울산 문수 축구경기장,23294,맑음,31.2,56
2025,K리그1,28,164,2025-08-30 19:00:00,토,대구,수원FC,12,9,대구iM뱅크PARK,7324,맑음,35.2,39
2025,K리그1,28,165,2025-08-30 19:00:00,토,제주,광주,10,6,제주 월드컵 경기장,6967,맑음,28.0,78
2025,K리그1,28,166,2025-08-31 19:00:00,일,서울,안양,5,11,서울 월드컵 경기장,20027,맑음,28.8,75
2025,K리그1,28,167,2025-08-31 19:00:00,일,강원,포항,7,3,강릉하이원아레나,8505,흐림,29.5,78
2025,K리그1,28,168,2025-08-31 19:00:00,일,대전,김천,4,2,대전 월드컵 경기장,6534,흐림,27.3,80
2025,K리그1,29,169,2025-09-13 19:00:00,토,강원,서울,7,5,강릉하이원아레나,7572,비,20.4,95
2025,K리그1,29,170,2025-09-13 19:00:00,토,포항,울산,4,8,포항 스틸야드,14166,비,22.0,85
2025,K리그1,29,171,2025-09-13 19:00:00,토,전북,대전,1,3,전주 월드컵 경기장,22588,흐림,26.0,80
2025,K리그1,29,172,2025-09-14 19:00:00,일,안양,제주,9,11,안양 종합 운동장,7412,맑음,28.3,59
2025,K리그1,29,173,2025-09-14 19:00:00,일,김천,대구,2,12,김천 종합 운동장,3872,맑음,26.6,76
2025,K리그1,29,174,2025-09-14 19:00:00,일,수원FC,광주,10,7,수원 종합 운동장,3354,맑음,28.0,62
2025,K리그1,30,175,2025-09-20 16:30:00,토,전북,김천,1,2,전주 월드컵 경기장,17212,맑음,24.0,77
2025,K리그1,30,176,2025-09-20 19:00:00,토,대전,대구,3,12,대전 월드컵 경기장,21045,흐림,22.9,78
2025,K리그1,30,177,2025-09-21 16:30:00,일,울산,안양,9,8,울산 문수 축구경기장,13201,맑음,22.5,65
2025,K리그1,30,178,2025-09-21 16:30:00,일,수원FC,강원,10,6,수원 종합 운동장,4005,맑음,265.0,50
2025,K리그1,30,179,2025-09-21 19:00:00,일,서울,광주,7,5,서울 월드컵 경기장,15221,맑음,22.8,67
2025,K리그1,30,180,2025-09-21 19:00:00,일,포항,제주,4,11,포항 스틸야드,9014,맑음,21.0,69
2025,K리그1,31,181,2025-09-27 14:00:00,토,강원,대전,7,3,강릉하이원아레나,7112,맑음,24.9,67
2025,K리그1,31,182,2025-09-27 16:30:00,토,김천,포항,2,4,김천 종합 운동장,3634,맑음,27.0,52
2025,K리그1,31,183,2025-09-27 16:30:00,토,대구,울산,12,9,대구iM뱅크PARK,10601,맑음,28.1,49
2025,K리그1,31,184,2025-09-27 19:00:00,토,서울,전북,5,1,서울 월드컵 경기장,31348,흐림,24.0,75
