Meet_Year,LEAGUE_NAME,Round,Game_Datetime,Day,HomeTeam,AwayTeam,HomeDistance,AwayDistance,HomeSprint,AwaySprint,Audience_Qty,Weather,Temperature,Humidity
2025,J리그1,21,2025-06-21 19:03:00,일,名古屋,清水,114.873,113.27,134,122,33833,맑음,26.1,56
2025,J리그1,21,2025-06-22 18:03:00,일,横浜FC,広島,109.753,107.471,124,116,10475,맑음,26.9,66
2025,J리그1,21,2025-06-22 18:33:00,일,Ｇ大阪,FC東京,104.132,105.377,117,110,28747,흐림,29.4,72
2025,J리그1,15,2025-06-25 19:03:00,일,川崎Ｆ,新潟,108.674,111.441,104,91,20905,맑음,28.1,82
2025,J리그1,22,2025-06-28 18:03:00,일,鹿島,岡山,110.583,115.35,135,152,22254,맑음,25.7,84
2025,J리그1,15,2025-06-25 19:33:00,일,横浜FM,FC東京,101.092,106.473,93,129,19244,흐림,27.2,66
2025,J리그1,22,2025-06-28 18:33:00,일,清水,柏,111.768,114.555,117,146,18159,맑음,27,55
2025,J리그1,22,2025-06-28 19:03:00,일,FC東京,横浜FC,115.413,113.105,102,108,24233,맑음,27.5,40
2025,J리그1,22,2025-06-28 19:03:00,일,湘南,横浜FM,115.221,113.773,143,107,13031,맑음,26,80
2025,J리그1,22,2025-06-28 19:03:00,일,京都,Ｇ大阪,117.945,107.343,117,95,20174,맑음,27.2,61
2025,J리그1,22,2025-06-28 19:03:00,일,広島,名古屋,110.909,114.346,100,102,26246,맑음,29.7,63
2025,J리그1,22,2025-06-28 19:03:00,일,福岡,神戸,107.281,106.039,98,109,11783,맑음,29.1,67
2025,J리그1,22,2025-06-29 18:03:00,일,新潟,町田,114.161,115.699,98,115,20087,맑음,26.9,83
2025,J리그1,22,2025-06-29 18:03:00,일,東京Ｖ,川崎Ｆ,117.184,107.833,115,92,22326,맑음,29.3,66
2025,J리그1,5,2025-07-02 19:03:00,일,神戸,広島,109.988,103.357,92,90,14950,흐림,28.5,85
2025,J리그1,23,2025-07-05 18:03:00,일,町田,清水,116.671,110.01,115,106,11779,맑음 후 비,29.9,72
2025,J리그1,23,2025-07-05 19:03:00,일,柏,FC東京,112.741,112.1,114,100,13447,맑음,30.1,62
