game_id,datetime,home_team,away_team,stadium,audience,weather,temp,humidity,broadcast
149,2025-08-10 19:00:00,포항,광주,포항 스틸야드,10020,맑음,27.0,73,"skySports, COUPANGPLAY"
150,2025-08-10 19:00:00,대전,수원FC,대전 월드컵 경기장,9022,맑음,31.3,51,"IB SPORTS, COUPANGPLAY"
151,2025-08-15 19:00:00,제주,강원,제주 월드컵 경기장,8093,맑음,29.0,77,"IB SPORTS, COUPANGPLAY"
152,2025-08-15 19:00:00,안양,포항,안양 종합 운동장,8122,맑음,30.2,66,"JTBC G&S, COUPANGPLAY"
153,2025-08-16 19:00:00,전북,대구,전주 월드컵 경기장,23460,맑음,33.0,53,"skySports, COUPANGPLAY"
154,2025-08-16 20:00:00,수원FC,울산,수원 종합 운동장,5702,맑음,29.7,69,"IB SPORTS, COUPANGPLAY"
155,2025-08-17 19:00:00,김천,서울,김천 종합 운동장,2667,맑음,32.3,49,"JTBC G&S, COUPANGPLAY"
156,2025-08-17 19:00:00,광주,대전,광주 월드컵 경기장,3278,맑음,29.0,70,"skySports, COUPANGPLAY"
157,2025-08-23 19:00:00,김천,수원FC,김천 종합 운동장,2303,맑음,33.0,55,"JTBC G&S, COUPANGPLAY"
158,2025-08-23 19:30:00,광주,강원,광주 월드컵 경기장,3044,맑음,29.5,70,"skySports, COUPANGPLAY"
159,2025-08-23 19:00:00,대구,제주,대구iM뱅크PARK,7586,맑음,35.0,41,"IB SPORTS, COUPANGPLAY"
160,2025-08-24 19:00:00,서울,울산,서울 월드컵 경기장,20737,맑음,30.8,67,"JTBC G&S, COUPANGPLAY"
161,2025-08-24 19:00:00,포항,전북,포항 스틸야드,11582,맑음,31.0,51,"skySports, COUPANGPLAY"
162,2025-08-24 19:00:00,안양,대전,안양 종합 운동장,6317,맑음,33.9,51,"IB SPORTS, COUPANGPLAY"
163,2025-08-30 19:00:00,울산,전북,울산 문수 축구경기장,23294,맑음,31.2,56,"skySports, COUPANGPLAY"
164,2025-08-30 19:00:00,대구,수원FC,대구iM뱅크PARK,7324,맑음,35.2,39,"JTBC G&S, COUPANGPLAY"
165,2025-08-30 19:00:00,제주,광주,제주 월드컵 경기장,6967,맑음,28.0,78,"IB SPORTS, COUPANGPLAY"
166,2025-08-31 19:00:00,서울,안양,서울 월드컵 경기장,20027,맑음,28.8,75,"skySports, COUPANGPLAY"
167,2025-08-31 19:00:00,강원,포항,강릉하이원아레나,8505,흐림,29.5,78,"IB SPORTS, COUPANGPLAY"
168,2025-08-31 19:00:00,대전,김천,대전 월드컵 경기장,6534,흐림,27.3,80,"JTBC G&S, COUPANGPLAY"
169,2025-09-13 19:00:00,강원,서울,강릉하이원아레나,7572,비,20.4,95,"IB SPORTS, COUPANGPLAY"
170,2025-09-13 19:00:00,포항,울산,포항 스틸야드,14166,비,22.0,85,"JTBC G&S, COUPANGPLAY"
171,2025-09-13 19:00:00,전북,대전,전주 월드컵 경기장,22588,흐림,26.0,80,"skySports, COUPANGPLAY"
172,2025-09-14 19:00:00,안양,제주,안양 종합 운동장,7412,맑음,28.3,59,"IB SPORTS, COUPANGPLAY"
173,2025-09-14 19:00:00,김천,대구,김천 종합 운동장,3872,맑음,26.6,76,"JTBC G&S, COUPANGPLAY"
174,2025-09-14 19:00:00,수원FC,광주,수원 종합 운동장,3354,맑음,28.0,62,"skySports, COUPANGPLAY"
175,2025-09-20 16:30:00,전북,김천,전주 월드컵 경기장,17212,맑음,24.0,77,"skySports, COUPANGPLAY"
